Total time: 886705.43ms ()
Time inside WA: 50995.17ms (70.52ms)
Time spent inside WA: 5.75%

Note: Not every aspect of each aura can be tracked.
You can ask on our discord https://discord.gg/weakauras for help interpreting this output.

Auras:
Total time attributed to auras: 
Mastery 3458.53ms, 8.28% (0.64ms)
generictrigger cd tracking 2643.19ms, 5.18% (5.33ms)
dynamic conditions 1181.34ms, 2.32% (0.85ms)
dynamicgroup 1064.86ms, 2.09% (4.61ms)
generictrigger BAG_UPDATE 887.33ms, 1.74% (14.07ms)
generictrigger UNIT_INVENTORY_CHANGED 787.97ms, 1.55% (9.53ms)
load 782.49ms, 1.53% (70.52ms)
bufftrigger2 604.29ms, 1.19% (1.59ms)
generictrigger SPELL_UPDATE_USABLE 587.83ms, 1.15% (1.23ms)
generictrigger UNIT_POWER_FREQUENT player 488.06ms, 0.96% (1.68ms)
generictrigger SPELL_COOLDOWN_CHANGED 432.56ms, 0.85% (2.29ms)
bufftrigger2 - multi 422.46ms, 0.83% (0.47ms)
generictrigger unit change 317.04ms, 0.62% (1.05ms)
animations 255.08ms, 0.50% (1.22ms)
generictrigger GCD_START 243.64ms, 0.48% (4.24ms)
generictrigger UNIT_HEALTH group 228.88ms, 0.45% (1.96ms)
generictrigger GCD_END 225.54ms, 0.44% (4.18ms)
generictrigger ITEM_COUNT_UPDATE 221.11ms, 0.43% (0.68ms)
generictrigger UNIT_HEALTH party 111.31ms, 0.22% (0.55ms)
generictrigger UNIT_HEALTH nameplate 94.64ms, 0.19% (2.08ms)
generictrigger SPELLS_CHANGED 84.29ms, 0.17% (11.31ms)
generictrigger UNIT_HEALTH target 80.68ms, 0.16% (0.46ms)
generictrigger GCD_CHANGE 40.55ms, 0.08% (3.02ms)
generictrigger UNIT_POWER_FREQUENT party 39.60ms, 0.08% (0.27ms)
talent 36.84ms, 0.07% (14.65ms)
generictrigger CHAT_MSG_ADDON 29.40ms, 0.06% (0.15ms)
generictrigger UNIT_CHANGED_nameplate 28.14ms, 0.06% (1.75ms)
generictrigger GLOBAL_MOUSE_UP 17.86ms, 0.04% (0.10ms)
generictrigger GLOBAL_MOUSE_DOWN 15.71ms, 0.03% (0.30ms)
generictrigger UNIT_ABSORB_AMOUNT_CHANGED player 12.50ms, 0.02% (0.13ms)
generictrigger DEATHLOG_WA_MDITEXT 12.29ms, 0.02% (1.42ms)
generictrigger PLAYER_SOFT_ENEMY_CHANGED 9.47ms, 0.02% (1.02ms)
generictrigger UNIT_CHANGED_target 9.13ms, 0.02% (0.90ms)
generictrigger ACTIVE_TALENT_GROUP_CHANGED 8.53ms, 0.02% (8.53ms)
generictrigger UNIT_INVENTORY_CHANGED player 7.74ms, 0.02% (0.14ms)
generictrigger UNIT_SPELLCAST_START target 7.39ms, 0.01% (0.82ms)
generictrigger PLAYER_TARGET_CHANGED 6.77ms, 0.01% (0.23ms)
generictrigger PLAYER_ENTERING_WORLD 5.67ms, 0.01% (5.67ms)
generictrigger UNIT_SPELLCAST_SUCCEEDED player 4.88ms, 0.01% (0.06ms)
generictrigger UNIT_SPELLCAST_CHANNEL_START player 4.16ms, 0.01% (0.37ms)
generictrigger UNIT_TARGET target 4.14ms, 0.01% (0.24ms)
generictrigger UNIT_HEALTH player 3.44ms, 0.01% (0.05ms)
generictrigger UNIT_SPELLCAST_CHANNEL_START target 3.29ms, 0.01% (0.49ms)
generictrigger UNIT_TARGET player 3.27ms, 0.01% (0.21ms)
generictrigger DEATHLOG_WA 2.98ms, 0.01% (0.54ms)
generictrigger UNIT_SPELLCAST_STOP target 2.94ms, 0.01% (0.31ms)
generictrigger itemCountFrame 2.72ms, 0.01% (0.01ms)
generictrigger UNIT_MAXHEALTH nameplate 2.12ms, 0.00% (0.43ms)
generictrigger MODIFIER_STATE_CHANGED 2.04ms, 0.00% (0.10ms)
generictrigger UNIT_SPELLCAST_START player 1.91ms, 0.00% (0.47ms)
generictrigger UNIT_SPELLCAST_CHANNEL_STOP player 1.90ms, 0.00% (0.16ms)
generictrigger 1.85ms, 0.00% (0.05ms)
generictrigger UNIT_SPELLCAST_CHANNEL_STOP target 1.33ms, 0.00% (0.30ms)
generictrigger UNIT_MAXHEALTH target 1.09ms, 0.00% (0.13ms)
generictrigger WA_DELAYED_PLAYER_ENTERING_WORLD 1.00ms, 0.00% (1.00ms)
generictrigger NAME_PLATE_UNIT_REMOVED 0.97ms, 0.00% (0.01ms)
generictrigger UNIT_FLAGS target 0.94ms, 0.00% (0.12ms)
generictrigger NAME_PLATE_UNIT_ADDED 0.93ms, 0.00% (0.01ms)
generictrigger PLAYER_REGEN_DISABLED 0.84ms, 0.00% (0.19ms)
model 0.72ms, 0.00% (0.38ms)
prd 0.65ms, 0.00% (0.01ms)
generictrigger PLAYER_REGEN_ENABLED 0.59ms, 0.00% (0.15ms)
generictrigger UNIT_SPELLCAST_STOP player 0.57ms, 0.00% (0.12ms)
generictrigger BAG_UPDATE_DELAYED 0.55ms, 0.00% (0.19ms)
generictrigger UPDATE_MOUSEOVER_UNIT 0.47ms, 0.00% (0.01ms)
generictrigger UNIT_SPELLCAST_INTERRUPTED player 0.44ms, 0.00% (0.25ms)
generictrigger GROUP_ROSTER_UPDATE 0.44ms, 0.00% (0.04ms)
sound 0.43ms, 0.00% (0.02ms)
generictrigger UNIT_SPELLCAST_INTERRUPTED target 0.34ms, 0.00% (0.31ms)
generictrigger UNIT_CHANGED_player 0.28ms, 0.00% (0.18ms)
generictrigger UNIT_CHANGED_group 0.21ms, 0.00% (0.13ms)
generictrigger UNIT_MAXPOWER player 0.21ms, 0.00% (0.11ms)
generictrigger GCD_UPDATE 0.21ms, 0.00% (0.01ms)
generictrigger UNIT_THREAT_LIST_UPDATE 0.20ms, 0.00% (0.01ms)
generictrigger SPELL_COOLDOWN_READY 0.18ms, 0.00% (0.00ms)
generictrigger CHAT_MSG_SYSTEM 0.11ms, 0.00% (0.01ms)
generictrigger PLAYER_TARGET_CHANGED_FAKE target 0.10ms, 0.00% (0.00ms)
generictrigger PLAYER_SOFT_ENEMY_CHANGED_FAKE softenemy 0.07ms, 0.00% (0.00ms)
generictrigger CHAT_MSG_BG_SYSTEM_HORDE 0.07ms, 0.00% (0.01ms)
generictrigger PLAYER_FLAGS_CHANGED target 0.07ms, 0.00% (0.04ms)
generictrigger CHAT_MSG_INSTANCE_CHAT 0.06ms, 0.00% (0.01ms)
generictrigger TENCH_UPDATE 0.05ms, 0.00% (0.00ms)
generictrigger UNIT_ROLE_CHANGED_group 0.05ms, 0.00% (0.04ms)
generictrigger UPDATE_INVENTORY_DURABILITY 0.05ms, 0.00% (0.04ms)
generictrigger SPELL_CHARGES_CHANGED 0.03ms, 0.00% (0.00ms)
generictrigger CHAT_MSG_BG_SYSTEM_ALLIANCE 0.02ms, 0.00% (0.01ms)
generictrigger UNIT_MAXPOWER party 0.02ms, 0.00% (0.00ms)
generictrigger UNIT_CHANGED_focus 0.02ms, 0.00% (0.02ms)
generictrigger WA_TALENT_UPDATE 0.02ms, 0.00% (0.00ms)
generictrigger CHAT_MSG_SAY 0.02ms, 0.00% (0.00ms)
generictrigger UNIT_CHANGED_party 0.01ms, 0.00% (0.01ms)
generictrigger CHAT_MSG_LOOT 0.01ms, 0.00% (0.01ms)
generictrigger CHAT_MSG_INSTANCE_CHAT_LEADER 0.01ms, 0.00% (0.01ms)
generictrigger UNIT_CHANGED_pet 0.01ms, 0.00% (0.00ms)
generictrigger UNIT_CHANGED_boss 0.01ms, 0.00% (0.01ms)
generictrigger UNIT_ROLE_CHANGED_party 0.01ms, 0.00% (0.01ms)
generictrigger CHAT_MSG_BG_SYSTEM_NEUTRAL 0.01ms, 0.00% (0.01ms)
generictrigger UNIT_FACTION target 0.01ms, 0.00% (0.01ms)
generictrigger UNIT_CHANGED_arena 0.01ms, 0.00% (0.01ms)
generictrigger PET_UPDATE 0.01ms, 0.00% (0.00ms)
generictrigger UNIT_CHANGED_boss10 0.00ms, 0.00% (0.00ms)

LibGetFrame:
