Total time: 14226.24ms ()
Time inside WA: 790.38ms (4.11ms)
Time spent inside WA: 5.56%

Note: Not every aspect of each aura can be tracked.
You can ask on our discord https://discord.gg/weakauras for help interpreting this output.

Auras:
Total time attributed to auras: 
Mastery 130.06ms, 19.33% (0.45ms)
generictrigger GCD_END 6.48ms, 0.82% (3.50ms)
load 6.18ms, 0.78% (2.71ms)
generictrigger SPELL_COOLDOWN_CHANGED 4.96ms, 0.63% (1.57ms)
generictrigger ITEM_SLOT_COOLDOWN_ITEM_CHANGED 3.08ms, 0.39% (0.06ms)
generictrigger UNIT_CHANGED_target 1.96ms, 0.25% (0.64ms)
generictrigger PLAYER_TARGET_CHANGED 1.54ms, 0.19% (0.25ms)
generictrigger PLAYER_SOFT_ENEMY_CHANGED 1.37ms, 0.17% (0.27ms)
generictrigger DEATHLOG_WA_MDITEXT 1.30ms, 0.16% (1.30ms)
generictrigger COMBAT_LOG_EVENT_UNFILTERED_CUSTOM 1.21ms, 0.15% (0.06ms)
generictrigger GLOBAL_MOUSE_UP 1.11ms, 0.14% (0.08ms)
generictrigger GLOBAL_MOUSE_DOWN 0.99ms, 0.13% (0.05ms)
generictrigger UNIT_CHANGED_nameplate 0.96ms, 0.12% (0.49ms)
generictrigger UPDATE_MOUSEOVER_UNIT 0.78ms, 0.10% (0.06ms)
generictrigger UNIT_THREAT_LIST_UPDATE 0.69ms, 0.09% (0.05ms)
generictrigger UNIT_TARGET player 0.68ms, 0.09% (0.12ms)
bufftrigger2 - multi 0.62ms, 0.08% (0.02ms)
generictrigger UNIT_HEALTH nameplate 0.47ms, 0.06% (0.25ms)
generictrigger UNIT_ABSORB_AMOUNT_CHANGED player 0.40ms, 0.05% (0.09ms)
generictrigger UNIT_HEALTH player 0.35ms, 0.04% (0.05ms)
generictrigger NAME_PLATE_UNIT_ADDED 0.31ms, 0.04% (0.05ms)
generictrigger DEATHLOG_WA 0.27ms, 0.03% (0.27ms)
generictrigger UNIT_HEALTH target 0.24ms, 0.03% (0.13ms)
generictrigger itemCountFrame 0.19ms, 0.02% (0.00ms)
generictrigger MODIFIER_STATE_CHANGED 0.16ms, 0.02% (0.08ms)
generictrigger UNIT_FLAGS target 0.14ms, 0.02% (0.08ms)
generictrigger PLAYER_REGEN_DISABLED 0.12ms, 0.02% (0.12ms)
generictrigger PLAYER_REGEN_ENABLED 0.12ms, 0.01% (0.12ms)
generictrigger UNIT_SPELLCAST_STOP target 0.08ms, 0.01% (0.08ms)
generictrigger CHAT_MSG_MONSTER_YELL 0.07ms, 0.01% (0.07ms)
generictrigger UPDATE_INVENTORY_DURABILITY 0.06ms, 0.01% (0.03ms)
generictrigger CHAT_MSG_SYSTEM 0.04ms, 0.01% (0.04ms)
generictrigger NAME_PLATE_UNIT_REMOVED 0.04ms, 0.01% (0.00ms)
generictrigger UNIT_TARGET target 0.04ms, 0.00% (0.04ms)
generictrigger PLAYER_TARGET_CHANGED_FAKE target 0.02ms, 0.00% (0.00ms)
generictrigger PLAYER_SOFT_ENEMY_CHANGED_FAKE softenemy 0.01ms, 0.00% (0.00ms)
generictrigger GCD_UPDATE 0.01ms, 0.00% (0.00ms)
sound 0.01ms, 0.00% (0.00ms)
generictrigger PLAYER_DEAD 0.00ms, 0.00% (0.00ms)
generictrigger SPELL_COOLDOWN_READY 0.00ms, 0.00% (0.00ms)
generictrigger SPELL_CHARGES_CHANGED 0.00ms, 0.00% (0.00ms)

LibGetFrame:
